datetime,temp
2020-01-01,2.8
2020-01-02,4.4
2020-01-03,3.2
2020-01-04,2.8
2020-01-05,1.3
2020-01-06,1.6
2020-01-07,3.5
2020-01-08,3.7
2020-01-09,3.6
2020-01-10,2.9
2020-01-11,1.9
2020-01-12,4.6
2020-01-13,3.3
2020-01-14,2.1
2020-01-15,6.1
2020-01-16,6.9
2020-01-17,3.6
2020-01-18,1.6
2020-01-19,4.3
2020-01-20,2.4
2020-01-21,6.3
2020-01-22,4.3
2020-01-23,3.2
2020-01-24,6.3
2020-01-25,3.6
2020-01-26,2.8
2020-01-27,3.6
2020-01-28,0.6
2020-01-29,2.5
2020-01-30,2.4
2020-01-31,2.5
2020-02-01,4.6
2020-02-02,5.6
2020-02-03,2.5
2020-02-04,-1.5
2020-02-05,-1.7
2020-02-06,1
2020-02-07,-0.4
2020-02-08,2.6
2020-02-09,2
2020-02-10,4.2
2020-02-11,3.8
2020-02-12,2.8
2020-02-13,2.7
2020-02-14,0.6
2020-02-15,0.3
2020-02-16,4.1
2020-02-17,8.5
2020-02-18,6.7
2020-02-19,4.6
2020-02-20,4.4
2020-02-21,2.1
2020-02-22,3.7
2020-02-23,4.9
2020-02-24,3.4
2020-02-25,-0.7
2020-02-26,2.7
2020-02-27,0.7
2020-02-28,0.1
2020-02-29,0.1
2020-03-01,4.5
2020-03-02,4.9
2020-03-03,5.7
2020-03-04,5.6
2020-03-05,4
2020-03-06,3.3
2020-03-07,4
2020-03-08,3.4
2020-03-09,3.1
2020-03-10,3.4
2020-03-11,5.6
2020-03-12,5.3
2020-03-13,4.8
2020-03-14,-0.5
2020-03-15,0
2020-03-16,3.2
2020-03-17,4
2020-03-18,7.1
2020-03-19,6
2020-03-20,3.1
2020-03-21,0.3
2020-03-22,-0.8
2020-03-23,-2.2
2020-03-24,0.5
2020-03-25,3.6
2020-03-26,3.8
2020-03-27,4.8
2020-03-28,4.5
2020-03-29,2.4
2020-03-30,0
2020-03-31,0.8
2020-04-01,4.5
2020-04-02,5.8
2020-04-03,5.5
2020-04-04,3.4
2020-04-05,4.9
2020-04-06,8
2020-04-07,11.4
2020-04-08,9.9
2020-04-09,6.9
2020-04-10,5.6
2020-04-11,5.6
2020-04-12,6.7
2020-04-13,6.1
2020-04-14,1.5
